Durbin-Watson 1% Critical Values
N=30 to 1000, K=2, including intercept
  N    K     dL       dU
 30.   2.  1.13321  1.26342
 31.   2.  1.14672  1.27279
 32.   2.  1.15965  1.28184
 33.   2.  1.17202  1.29057
 34.   2.  1.18388  1.29898
 35.   2.  1.19526  1.30712
 36.   2.  1.20619  1.31499
 37.   2.  1.21669  1.32261
 38.   2.  1.22681  1.32997
 39.   2.  1.23655  1.33711
 40.   2.  1.24595  1.34403
 41.   2.  1.25501  1.35073
 42.   2.  1.26376  1.35725
 43.   2.  1.27223  1.36356
 44.   2.  1.28041  1.36969
 45.   2.  1.28832  1.37566
 46.   2.  1.29599  1.38145
 47.   2.  1.30343  1.38710
 48.   2.  1.31063  1.39258
 49.   2.  1.31763  1.39793
 50.   2.  1.32441  1.40313
 51.   2.  1.33101  1.40819
 52.   2.  1.33741  1.41314
 53.   2.  1.34365  1.41796
 54.   2.  1.34972  1.42267
 55.   2.  1.35562  1.42726
 56.   2.  1.36136  1.43175
 57.   2.  1.36696  1.43612
 58.   2.  1.37242  1.44041
 59.   2.  1.37774  1.44459
 60.   2.  1.38294  1.44869
 61.   2.  1.38800  1.45268
 62.   2.  1.39295  1.45660
 63.   2.  1.39777  1.46043
 64.   2.  1.40250  1.46418
 65.   2.  1.40710  1.46785
 66.   2.  1.41162  1.47145
 67.   2.  1.41603  1.47498
 68.   2.  1.42034  1.47843
 69.   2.  1.42456  1.48182
 70.   2.  1.42870  1.48515
 71.   2.  1.43273  1.48840
 72.   2.  1.43670  1.49160
 73.   2.  1.44058  1.49474
 74.   2.  1.44438  1.49781
 75.   2.  1.44812  1.50084
 76.   2.  1.45177  1.50381
 77.   2.  1.45535  1.50672
 78.   2.  1.45887  1.50959
 79.   2.  1.46233  1.51241
 80.   2.  1.46571  1.51518
 81.   2.  1.46904  1.51789
 82.   2.  1.47230  1.52057
 83.   2.  1.47550  1.52319
 84.   2.  1.47866  1.52579
 85.   2.  1.48175  1.52833
 86.   2.  1.48479  1.53084
 87.   2.  1.48778  1.53330
 88.   2.  1.49072  1.53572
 89.   2.  1.49360  1.53811
 90.   2.  1.49644  1.54046
 91.   2.  1.49924  1.54278
 92.   2.  1.50199  1.54506
 93.   2.  1.50469  1.54730
 94.   2.  1.50735  1.54951
 95.   2.  1.50997  1.55170
 96.   2.  1.51255  1.55384
 97.   2.  1.51509  1.55596
 98.   2.  1.51759  1.55805
 99.   2.  1.52005  1.56010
100.   2.  1.52249  1.56213
101.   2.  1.52487  1.56413
102.   2.  1.52723  1.56611
103.   2.  1.52955  1.56805
104.   2.  1.53184  1.56998
105.   2.  1.53409  1.57187
106.   2.  1.53631  1.57374
107.   2.  1.53851  1.57558
108.   2.  1.54066  1.57741
109.   2.  1.54280  1.57920
110.   2.  1.54490  1.58097
111.   2.  1.54698  1.58273
112.   2.  1.54903  1.58446
113.   2.  1.55105  1.58617
114.   2.  1.55304  1.58786
115.   2.  1.55501  1.58953
116.   2.  1.55695  1.59117
117.   2.  1.55887  1.59280
118.   2.  1.56076  1.59440
119.   2.  1.56263  1.59599
120.   2.  1.56448  1.59756
121.   2.  1.56630  1.59911
122.   2.  1.56809  1.60065
123.   2.  1.56987  1.60216
124.   2.  1.57164  1.60366
125.   2.  1.57337  1.60514
126.   2.  1.57508  1.60660
127.   2.  1.57678  1.60805
128.   2.  1.57846  1.60949
129.   2.  1.58011  1.61091
130.   2.  1.58174  1.61230
131.   2.  1.58336  1.61369
132.   2.  1.58496  1.61506
133.   2.  1.58654  1.61642
134.   2.  1.58811  1.61776
135.   2.  1.58966  1.61909
136.   2.  1.59118  1.62040
137.   2.  1.59269  1.62170
138.   2.  1.59419  1.62298
139.   2.  1.59567  1.62426
140.   2.  1.59714  1.62552
141.   2.  1.59858  1.62677
142.   2.  1.60002  1.62801
143.   2.  1.60143  1.62923
144.   2.  1.60283  1.63044
145.   2.  1.60422  1.63164
146.   2.  1.60560  1.63282
147.   2.  1.60696  1.63401
148.   2.  1.60830  1.63517
149.   2.  1.60963  1.63632
150.   2.  1.61096  1.63747
151.   2.  1.61226  1.63860
152.   2.  1.61356  1.63972
153.   2.  1.61484  1.64083
154.   2.  1.61610  1.64193
155.   2.  1.61736  1.64302
156.   2.  1.61861  1.64410
157.   2.  1.61984  1.64517
158.   2.  1.62106  1.64623
159.   2.  1.62226  1.64728
160.   2.  1.62346  1.64832
161.   2.  1.62465  1.64936
162.   2.  1.62582  1.65038
163.   2.  1.62699  1.65140
164.   2.  1.62814  1.65240
165.   2.  1.62929  1.65340
166.   2.  1.63042  1.65438
167.   2.  1.63154  1.65536
168.   2.  1.63265  1.65633
169.   2.  1.63376  1.65730
170.   2.  1.63485  1.65825
171.   2.  1.63594  1.65920
172.   2.  1.63701  1.66014
173.   2.  1.63807  1.66107
174.   2.  1.63912  1.66200
175.   2.  1.64017  1.66291
176.   2.  1.64120  1.66382
177.   2.  1.64223  1.66472
178.   2.  1.64325  1.66561
179.   2.  1.64426  1.66650
180.   2.  1.64526  1.66738
181.   2.  1.64627  1.66825
182.   2.  1.64725  1.66911
183.   2.  1.64823  1.66997
184.   2.  1.64920  1.67082
185.   2.  1.65016  1.67168
186.   2.  1.65111  1.67251
187.   2.  1.65206  1.67335
188.   2.  1.65299  1.67417
189.   2.  1.65393  1.67499
190.   2.  1.65485  1.67581
191.   2.  1.65577  1.67661
192.   2.  1.65668  1.67741
193.   2.  1.65759  1.67821
194.   2.  1.65848  1.67900
