Durbin-Watson 1% Critical Values
N=30 to 1000, K=2, including intercept
  N    K     dL       dU
195.   2.  1.65937  1.67978
196.   2.  1.66024  1.68056
197.   2.  1.66113  1.68134
198.   2.  1.66199  1.68210
199.   2.  1.66285  1.68287
200.   2.  1.66370  1.68362
201.   2.  1.66456  1.68437
202.   2.  1.66540  1.68511
203.   2.  1.66624  1.68585
204.   2.  1.66707  1.68658
205.   2.  1.66789  1.68732
206.   2.  1.66871  1.68804
207.   2.  1.66952  1.68876
208.   2.  1.67032  1.68948
209.   2.  1.67113  1.69019
210.   2.  1.67192  1.69089
211.   2.  1.67271  1.69158
212.   2.  1.67349  1.69228
213.   2.  1.67427  1.69297
214.   2.  1.67504  1.69365
215.   2.  1.67581  1.69434
216.   2.  1.67657  1.69501
217.   2.  1.67732  1.69568
218.   2.  1.67808  1.69635
219.   2.  1.67882  1.69701
220.   2.  1.67957  1.69767
221.   2.  1.68030  1.69833
222.   2.  1.68103  1.69898
223.   2.  1.68175  1.69962
224.   2.  1.68248  1.70026
225.   2.  1.68319  1.70090
226.   2.  1.68391  1.70153
227.   2.  1.68461  1.70216
228.   2.  1.68531  1.70279
229.   2.  1.68601  1.70341
230.   2.  1.68670  1.70402
231.   2.  1.69600  1.69599
232.   2.  1.69664  1.69664
233.   2.  1.69728  1.69729
234.   2.  1.69792  1.69793
